nombre,run,Dv,Correo,Nombre_usuario,Contrasena,Telefono_contacto,Jornada,Isapre,Contrato,Codigo_reserva,Codigo_agenda,Fecha,Monto,Cantidad_personas,Estado_disponibilidad,Numero_viaje,Lugar_origen,Lugar_llegada,Fecha_salida,Fecha_llegada,Capacidad,Tiempo_estimado,Precio_asiento,Empresa,Tipo_de_bus,Comodidades,Escalas,Clase,Paradas
"Julia Mata Briseño",22880193,3,Juliabriseno@viajes.cl,jumabr,Wf86xK72G,"+56 9 1022 4280",Diurno,"Más vida","Full time",549699,,2025-06-06,375000,3,,42421,,Algeciras,2026-02-17,2026-02-18,39,,125000,Futura,,"{""Aire acondicionado"",Comida,""Asientos reclinables""}",{},,
,20646661,8,sr.3249@viajes.cl,Sr.magaña,75zVSZ7bs5T,"+56 2 5013 8411",Nocturno,Fonasa,"Part time",551655,64304,,1310000,10,,82750,Vigo,Lorca,2026-11-27,2026-11-28,42,1826,131000,,,{},"{Lugo,Ferrol}",,{}
"Berta Anaya Bustamante",17831514,5,Bertabustamante@viajes.cl,,aXPmJR3Zl,"+56 9 8783 2778",,Consalud,"Part time",551742,,2025-04-03,1832000,,,53957,Leganés,Zaragoza,2025-06-05,2025-06-06,98,2528,229000,"Delta Air Lines",,{},{},,{}
"Gerardo Medina Rodrígez",5178374,3,GerardorodrOAgez@viajes.cl,Gerardorodrígez,q0B08NpBwEyfGgTc,"+56 9 2604 9367",Nocturno,Banmédica,"Full time",551849,63913,2025-06-06,896000,8,,61407,Zamora,ALICANTE,2026-01-04,2026-01-05,,,112000,"Buses Bio Bio",,,,,{}
"Manuel Negrete Briones",11951809,1,manebr@viajes.cl,Manuelbriones,qpIdliYjW20yx1F,"+56 9 4780 1687",Diurno,Banmédica,"Full time",553722,71869,2025-01-28,147000,3,,40078,,,2025-06-11,2025-06-11,39,,49000,"Omnibus de México",,"{Calefacción,Comida,Wifi}",{},,{}
"Alejandro Molina Peres",25854696,2,almope@viajes.cl,Alejandroperes,,"+56 2 6080 3419",,Banmédica,"Part time",556241,64240,2025-09-25,260000,5,,3781,,Mérida,2026-01-30,2026-01-30,76,,52000,"American Airlines",,{},{},,{}
"Jorge Delacrúz Magaña",13926022,8,jorge2701@viajes.cl,,tr3gYoYVHRfON,"+56 9 9693 8840",Diurno,Colmena,,557704,68458,2025-08-11,1338000,3,,18448,Córdoba,Mijas,,2026-05-05,30,,446000,Vueling,,{},"{Logroño,""Collado Villalba""}",,{}
"Lilia Flórez Naranjo",25177317,3,Lilianaranjo@viajes.cl,liflna,4znBGEHP,"+56 2 7603 9972",Diurno,,"Part time",558152,67067,2026-01-02,891000,9,,8347,,Gerona,2026-09-15,2026-09-16,15,2201,99000,Italo,,"{Calefacción,Wifi,""Aire acondicionado"",Baño,""Asientos reclinables""}",{},,
"Bernardo Chávez Urbina",20922571,9,bernardo8297@viajes.cl,Bernardourbina,,"+56 2 3935 6248",Nocturno,,"Full time",560555,70255,2025-01-21,570000,6,,43471,alcobendas,,,2026-01-09,19,168,95000,Eurostar,,{},{},,"{Murcia,Madrid,Algeciras,Gecho,Cádiz}"
"Sr. Soledad Pizarro Espinal",18557532,2,srsopies@viajes.cl,sr.3431,5FrujCR9rwn,"+56 9 6729 4758",,Banmédica,,563519,65823,2025-02-27,1488000,6,,32586,Coslada,ChiclanadelaFrontera,2026-04-23,2026-04-25,28,3579,248000,,,"{Calefacción,Wifi,TV,Baño,Agua,""Asientos reclinables""}",{},,
"Sra. Luisa Malave Cavazos",28042706,3,Sra.cavazos@viajes.cl,srlumaca,,"+56 9 6996 4728",Diurno,,"Part time",563841,64305,2026-01-31,420000,7,,72072,Reus,Valencia,2026-04-15,2026-04-15,49,266,60000,"Flecha Bus",,"{Comida,Calefacción,Agua}",,,{}
"Teodoro Manzanares Lara",5053201,1,teodoro2239@viajes.cl,temala,,"+56 2 5338 4156",,"Más vida",,564578,69643,2025-11-13,240000,4,,55674,ChiclanadelaFrontera,SantaCruzdeTenerife,2026-06-09,2026-06-11,50,4236,60000,JetSur,,"{""Asientos reclinables"",Wifi,Agua}",,,{}
,1579457,7,crriva@viajes.cl,crriva,Xqd1x1S7r,"+56 9 3998 5403",Diurno,,"Full time",567312,69872,2026-01-07,53000,,,41860,Huelva,MATARó,2026-04-02,2026-04-04,39,3755,53000,"Pullman Bus",,,{},,{}
"Sra. Claudia Arenas Carranza",1233880,5,srclarca@viajes.cl,srclarca,UH7wGjYdIUPW75w0,"+56 2 5662 4200",Diurno,,"Part time",569245,65715,2025-01-27,1125000,,,40023,Barcelona,Manresa,2025-11-11,2025-11-11,26,975,125000,"BDZ (Bulgaria)",,"{TV,Comida,Calefacción}",{},,
"Gonzalo Lozada Regalado",22422162,2,Gonzaloregalado@viajes.cl,golore,wc8QXb57RUoA,"+56 2 7844 5486",,Banmédica,"Full time",571034,71005,,,8,,89005,Telde,CORNELLáDELLOBREGAT,2025-03-20,2025-03-21,46,,187000,"Buses Ahumada",,"{TV,Calefacción,""Aire acondicionado""}",{},,{}
"José Emilio Franco Medrano",25192013,3,josOo9599@viajes.cl,,NpMOQE6pyLAR4C,"+56 9 2151 2166",Nocturno,Fonasa,"Part time",571102,,2025-05-26,1192000,8,,81980,Lérida,ElEjido,,2025-12-20,72,1075,149000,"Wizz Air",,{},{Leganés},,{}
"Guillermina Abreu Santiago",24009775,3,guabsa@viajes.cl,Guillerminasantiago,JF94VDSiSTc,"+56 2 9566 0783",,Banmédica,"Full time",573489,64434,2026-07-31,174000,2,,23690,Benalmádena,Elche,2026-08-09,2026-08-09,40,,87000,"Via Bariloche",,,{},,
"Marisol Griego Santacruz",16046722,3,Marisolsantacruz@viajes.cl,magrsa,x9FltMj5,"+56 2 1811 4745",Nocturno,"Más vida","Full time",573665,64218,2025-01-12,1782000,6,,39872,Granollers,Baracaldo,2025-01-28,2025-01-30,68,,297000,,,"{Agua,Comida,Baño,TV,Calefacción,""Asientos reclinables"",Wifi}",{},,
"Cecilia Alarcón Delvalle",9270687,7,Ceciliadelvalle@viajes.cl,cealde,,"+56 9 7912 8890",Diurno,,"Part time",573732,,,154000,2,,4065,Tarragona,Leganés,2026-04-29,2026-05-01,33,3528,77000,"Crucero del Norte",,"{TV,Calefacción,Baño}",{},,{}
"Sr. Micaela Cervantes Toledo",7894309,2,sr.3908@viajes.cl,srmiceto,zSTXmjADavDz58o,"+56 2 9412 6405",,Banmédica,"Part time",573805,,,450000,6,,43525,,ColladoVillalba,2026-09-01,2026-09-01,65,435,75000,Avianca,,{},{},,{}
"Cristina Ureña Galván",8769976,5,crurga@viajes.cl,,8fxI7Vp7dp7tD6,"+56 9 0307 5651",Diurno,,,578488,63752,2025-05-29,1264000,8,,21912,HospitaletdeLLobregat,Barcelona,2026-04-29,2026-05-01,81,3481,158000,,,"{""Aire acondicionado"",Comida,TV,""Asientos reclinables"",Wifi,Baño}",{},,"{Rivas-Vaciamadrid,Gecho}"
,598562,5,amalia9799@viajes.cl,Amalianieves,,"+56 9 3422 1177",Diurno,Fonasa,"Part time",578749,71180,,600000,4,,17504,Alcobendas,MIJAS,2026-07-14,2026-07-15,11,2084,150000,,,{},"{""Cerdañola del Vallés"",Mérida}",,{}
,13912425,1,rosario4305@viajes.cl,rosario3348,ipkHXkD5o4,"+56 9 4149 1226",,Consalud,"Part time",579302,63932,2025-07-30,170000,1,,1984,Baracaldo,Estepona,,2026-07-21,63,4297,170000,,,{},"{Sagunto,Vigo,""Santiago de Compostela""}",,{}
,21338837,1,alfredo5877@viajes.cl,alcota,Y5XsBi6eOR,"+56 2 0064 8875",Nocturno,Banmédica,"Full time",580490,,2025-06-18,1864000,8,,80276,Madrid,,2026-07-13,2026-07-15,,4179,233000,Ryanair,,{},"{Gandía,""Pozuelo de Alarcón"",Viladecans}",,{}
,24872091,3,Anaarreola@viajes.cl,anlusaar,SyN8QejkKE,"+56 2 1631 1632",Nocturno,Consalud,"Full time",580590,,2025-01-10,1212000,6,,54610,Benalmádena,CerdañoladelVallés,,2025-10-14,78,4072,202000,"RZD (Rusia)",,"{Wifi,Calefacción,Baño,TV,""Asientos reclinables"",Comida,""Aire acondicionado""}",{},,{Badalona}
"José María Puente Yáñez",4465120,3,jomapuyOe@viajes.cl,Joséyáñez,wKXj6IzlM7jjw,"+56 9 4463 1091",Diurno,"Más vida",,,65994,2025-04-07,1005000,5,,79649,salamanca,ALBACETE,2025-06-21,2025-06-22,56,2815,201000,,,{},,,{}
,7195575,3,Catalinaozuna@viajes.cl,catalina7062,zwSpVoO4R,"+56 9 3491 9515",,Colmena,"Part time",581153,69002,2025-01-01,1620000,9,,78469,Majadahonda,LACORUñA,2025-01-10,2025-01-12,,3065,180000,"EME Bus",,"{""Aire acondicionado"",TV,Baño}",{},,
,8318621,6,roraho@viajes.cl,roraho,5Ah9aUmU1DB7NCJ,"+56 9 2401 0021",Diurno,Colmena,"Part time",583045,63718,,744000,8,,80314,rubí,,2025-03-11,2025-03-11,31,677,93000,,,"{""Asientos reclinables"",Agua,Baño}",{},,{}
"Jesús Gómez Barrientos",23797571,5,jesOUs7880@viajes.cl,Jesúsbarrientos,,"+56 9 7656 6433",Diurno,Colmena,"Part time",583765,66917,2025-05-04,2853000,9,,32001,Lugo,Cartagena,2025-09-04,2025-09-06,42,4254,317000,,,,,,"{Mérida,Córdoba}"
"Sra. Juana Villareal Ortega",3439213,7,Sra.ortega@viajes.cl,Sra.ortega,cRrnJZbrDwpqi1zi,"+56 9 7083 8008",Diurno,,"Full time",584327,67273,,1092000,,,27820,Leganés,PONFERRADA,2025-12-24,2025-12-25,35,,182000,Andesmar,,"{Comida,Calefacción,""Aire acondicionado""}",{},,{}
"Gabriela Cepeda Ruelas",4158312,6,gabriela5833@viajes.cl,gaceru,53n6Jateob7Y,"+56 2 0685 6950",Nocturno,"Más vida","Part time",587067,70956,2025-02-12,,10,,99635,,MóSTOLES,2025-02-18,2025-02-20,55,2906,306000,"ZFBH (Bosnia y Herzegovina)",,"{Calefacción,TV,Agua,""Asientos reclinables"",Baño,""Aire acondicionado""}",{},,
"Raúl Portillo Munguía",377705,7,RaOUlmunguOAa@viajes.cl,raúl5936,y0F6BsB5n,"+56 2 8316 1405",Nocturno,,,587794,68935,,1314000,9,,47410,paterna,PONFERRADA,2026-05-04,2026-05-05,39,1949,146000,,,"{Agua,""Aire acondicionado"",Comida}",{},,{}
,7631542,6,mahuco@viajes.cl,mariana571,,"+56 2 4173 3522",Nocturno,,"Full time",588253,,2025-02-27,1589000,7,,92324,barcelona,Algeciras,2025-09-28,2025-09-30,31,4153,227000,Amtrak,,"{""Aire acondicionado"",Agua,TV,""Asientos reclinables"",Baño,Calefacción,Comida}",{},,"{Murcia,""Molina de Segura""}"
"Inés Cardenas Feliciano",11282053,1,inOos9109@viajes.cl,Inésfeliciano,e4pPdz1Q76DY,"+56 9 0649 1218",Nocturno,"Más vida","Full time",588754,,2025-01-01,1020000,6,,53003,Burgos,,2026-08-08,2026-08-09,85,1702,170000,"LATAM Airlines",,,{},,{}
"Julia Mora Villalpando",10143529,6,Juliavillalpando@viajes.cl,julia6019,aFuVZ1PNOaVItqwV,"+56 9 1902 7337",Diurno,"Más vida",,590925,71528,2025-09-27,127000,1,,18906,elpratdellobregat,BENIDORM,,2025-10-09,42,2041,127000,"Crucero del Norte",,,{},,{}
"Sta. Claudia Sierra Montañez",13100915,1,stclsimo@viajes.cl,Sta.montañez,1x9i3VtQKJOptfm,"+56 9 8117 7251",,Consalud,"Full time",,67693,2025-01-30,168000,2,,78572,,Segovia,2025-02-19,2025-02-19,52,1007,84000,"Turkish Airlines",,{},{Lorca},,{}
"Rafael Carreón Terrazas",10615875,4,Rafaelterrazas@viajes.cl,racate,Jv8YBc4klTQh,"+56 9 6043 8693",Nocturno,,"Full time",593587,70658,2025-02-13,531000,,,82080,,Vigo,2025-02-16,2025-02-16,42,754,177000,Monbus,,"{TV,Calefacción,Baño}",{},,
"Sra. Mariana Valentín Paredes",14522025,4,sra.2025@viajes.cl,sra.523,,"+56 9 6823 3454",Nocturno,"Más vida",,593967,71772,2025-07-20,680000,5,,62088,Paterna,Madrid,2025-08-26,2025-08-27,46,1968,136000,,,{},,,{}
"César Cuellar Delgadillo",25507574,8,COosardelgadillo@viajes.cl,cécude,ElHbDx2V2Ut,"+56 2 3982 6131",Diurno,"Más vida","Full time",594549,64579,2025-02-25,732000,,,11091,Gecho,Pamplona,2025-07-04,2025-07-05,39,2400,183000,,,{},"{Avilés,Torrevieja,Palencia}",,{}
,26787720,3,giralo@viajes.cl,giralo,jMN0K7325bcO2,"+56 9 9260 0083",Diurno,Colmena,"Part time",595381,,2025-12-17,,7,,35418,Bilbao,HospitaletdeLLobregat,2026-02-08,2026-02-10,72,3688,158000,"ŽSSK (Eslovaquia)",,"{Wifi,Calefacción,Comida,Baño,""Aire acondicionado"",Agua,TV}",{},,"{""Ciudad Real""}"
,26145011,9,besear@viajes.cl,Benitoarchuleta,,"+56 2 9877 8293",Diurno,Colmena,"Full time",598332,65999,2025-11-11,190000,1,,18417,Oviedo,,2026-04-15,2026-04-16,,2088,190000,"Deutsche Bahn (DB)",,"{Baño,Comida,""Aire acondicionado"",Calefacción}",{},,{}
"Dorotea Miranda Rodrígez",1600489,8,DorotearodrOAgez@viajes.cl,domiro,,"+56 9 3278 9883",Nocturno,"Más vida","Full time",600048,66051,,672000,4,,48599,Tarragona,Granollers,2026-08-22,2026-08-23,,2043,168000,Chevallier,,"{Baño,""Asientos reclinables"",Comida}",{},,{}
"Rafael Cervántez Cardona",22222610,4,rafael9571@viajes.cl,raceca,,"+56 9 4816 1995",,Fonasa,"Full time",600346,68869,2025-04-12,376000,4,,95716,Pamplona,Lugo,2026-01-07,2026-01-07,,,94000,Greyhound,,"{Calefacción,""Asientos reclinables"",TV}",{},,{}
"Teodoro Pagan Meza",26295075,1,teodoro835@viajes.cl,tepame,yV9yky6tg9u5v9oo,"+56 2 6791 8603",,Colmena,"Part time",600621,,2025-06-05,106000,,,96186,ElPuertodeSantaMaría,ElEjido,2026-11-17,2026-11-17,78,1429,106000,,,{},{Zaragoza},,{}
"Miguel Calderón Lucero",9419830,5,micalu@viajes.cl,miguel4698,3LgOmkG0,"+56 2 2095 6967",,Colmena,"Full time",600914,67421,2025-07-12,992000,,,91334,,PozuelodeAlarcón,,2026-11-29,1,3253,248000,"CFR (Rumania)",,"{Wifi,Agua,""Asientos reclinables"",""Aire acondicionado"",TV,Comida}",{},,{}
"Sta. Julia Ornelas Becerra",15051283,2,sta.5013@viajes.cl,stjuorbe,UkNhP4JBGcBX,"+56 2 9805 9840",,Banmédica,"Part time",601234,,2025-04-19,175000,1,,8054,ChiclanadelaFrontera,Alcobendas,2025-05-04,2025-05-05,,1488,175000,AVE,,"{Wifi,Calefacción,""Aire acondicionado"",""Asientos reclinables""}",{},,"{Rubí,""Las Palmas de Gran Canaria"",Puertollano}"
"Gerardo Escobar Galindo",20172282,9,geesga@viajes.cl,,U1m2jWBCdCbw,"+56 9 7791 2330",Diurno,,"Full time",601526,67359,2025-06-06,552000,3,,63937,Vigo,Alcoy,2025-11-12,2025-11-13,45,2756,184000,"Condor Bus",,"{Baño,""Aire acondicionado"",TV}",{},,
"Jacobo Toledo Lucio",22585213,8,Jacobolucio@viajes.cl,jatolu,QY8dHWJT58qU3,"+56 9 7562 9662",Nocturno,Colmena,"Full time",605821,,,,,Disponible,28029,Inca,RivasVaciamadrid,2026-03-29,2026-07-22,98,2782,161000,Emirates,,{},"{""Torrejón de Ardoz""}",,{}
"Sta. Luz Terrazas Navarrete",17101463,8,sta.7226@viajes.cl,Sta.navarrete,tab6eCPM6djz,"+56 2 7148 8359",Diurno,Consalud,"Part time",605822,,,,,Disponible,6157,tarragona,Valencia,2026-05-29,2026-11-19,41,4194,340000,EasyJet,,{},"{Palencia,Vitoria,Algeciras,Valdemoro}",,{}
"Gloria Abeyta Gómez",3359017,2,glabgOI@viajes.cl,gloria208,oMEc9yZhnVd97lW,"+56 9 1629 7875",Diurno,Consalud,"Full time",605823,,,,,Disponible,97081,RoquetasdeMar,SantaColomadeGramanet,2025-03-06,2025-08-05,84,3664,320000,"Singapore Airlines",,{},{},,{}
"María del Carmen Escobar Vela",13045208,6,marOAa424@viajes.cl,maría5832,2YWPY6FijmR5,"+56 9 6917 4669",Diurno,Fonasa,"Part time",605824,,,,,Disponible,54451,Murcia,Sagunto,2026-10-02,2026-11-19,18,1167,99000,"Wizz Air",,{},"{Albacete,Rubí,Benalmádena,""Sanlúcar de Barrameda""}",,{}
"Adán Pedraza Correa",6968536,6,AdOencorrea@viajes.cl,adpeco,j3x2ro99V,"+56 9 6371 9226",Diurno,Fonasa,"Full time",605825,,,0,,Disponible,40896,Barcelona,PONTEVEDRA,2026-08-20,2026-10-11,64,1270,141000,"Delta Air Lines",,{},"{Jaén,""San Sebastián"",""Torrejón de Ardoz""}",,{}
"Mayte Corrales Posada",9934387,7,mayte3683@viajes.cl,macopo,IHLUDv09eNUk,"+56 2 5553 6800",Diurno,Consalud,"Full time",605826,,,,,Disponible,75215,Albacete,Motril,2026-02-26,2026-06-03,60,2341,263000,"Air New Zealand",,{},{Elda},,{}
"Sr. Clara Carrera Olmos",29623243,2,sr.7869@viajes.cl,srclcaol,LQzSEOLRezl3Sp,"+56 2 9662 6912",Nocturno,Fonasa,"Full time",605827,,,,,Disponible,43565,ElEjido,Logroño,2025-11-03,2025-12-11,27,921,37000,EasyJet,,{},"{Elche,Vitoria,Cádiz,Ávila}",,{}
"Sta. Berta Porras Aponte",5467282,9,sta.8315@viajes.cl,Sta.aponte,6xKudTNmnnlX8SH,"+56 2 0803 1298",Diurno,Fonasa,"Full time",605828,,,,,Disponible,34790,Motril,Sabadell,2026-07-01,2026-12-21,55,4175,203000,Iberia,,{},"{""Sanlúcar de Barrameda"",""Santiago de Compostela"",Mijas,Parla,Orihuela}",,{}
"Ramona Orosco Rivero",29179253,7,raorri@viajes.cl,raorri,V0cqAZ5Z0HIwpKo5,"+56 2 4912 3668",Diurno,"Más vida","Full time",605829,,,,,Disponible,47176,Telde,MolletdelVallés,2026-09-11,2026-12-24,49,2503,89000,Aeroméxico,,{},"{Orihuela,Baracaldo,""Pozuelo de Alarcón"",Granollers}",,{}
"José Emilio Gastélum Guzmán",26818673,5,josOo586@viajes.cl,joemgagu,01iZSZ1EHi,"+56 9 0064 8055",Diurno,"Más vida","Part time",605830,,,0,,Disponible,42094,Oviedo,Logroño,2026-10-20,2026-11-12,77,567,77000,"Frontier Airlines",,{},"{Sevilla,Arrecife,Ponferrada,Telde}",,{}
"Sta. Fernando Quezada Ávila",25618658,6,Sta.Oevila@viajes.cl,stfequáv,8zw9K05sj7AM7,"+56 2 1626 4999",Nocturno,"Más vida","Full time",605831,,,,,Disponible,83696,Fuenlabrada,Paterna,2025-01-09,2025-02-06,4,679,63000,Aeroméxico,,{},"{Paterna,Arrecife,""Pozuelo de Alarcón""}",,{}
"Sr. Francisca Galindo Laboy",28219472,4,Sr.laboy@viajes.cl,srfrgala,ppt3X87nI,"+56 9 0873 3876",Nocturno,Colmena,"Full time",605832,,,,,Disponible,91198,Logroño,Coslada,2026-06-16,2026-10-09,21,2763,218000,"Qatar Airways",,{},"{Marbella,Zamora,""Castellón de la Plana"",Mijas}",,{}
"Gonzalo Cervantes Rendón",4946720,6,gocere@viajes.cl,gonzalo9407,oDZFuwe2uD,"+56 2 1817 8171",Diurno,"Más vida","Full time",605833,,,,,Disponible,86759,Motril,Ponferrada,2026-09-06,2026-09-30,31,599,90000,"Air Canada",,{},{},,{}
,22321761,3,Sra.cervOentez@viajes.cl,sranalce,r039JmDDsXnU2Nx,"+56 2 6925 2222",Nocturno,"Más vida","Part time",605835,,,0,,Disponible,38153,Mérida,,2026-06-17,2026-10-11,,2799,180000,EasyJet,,{},,,{}
"Hernán Verdugo Toledo",17634111,4,heveto@viajes.cl,hernán4448,4KhesW4A4Jcr,"+56 2 9786 7003",Nocturno,Banmédica,"Part time",605837,,,,,Disponible,20063,LaCoruña,ChiclanadelaFrontera,2026-03-09,2026-06-01,28,2036,65000,"Singapore Airlines",,{},"{""Palma de Mallorca"",Bilbao,Ávila}",,{}
"Caridad Gálvez Fajardo",26876895,5,Caridadfajardo@viajes.cl,caridad4423,oSwBj33c,"+56 2 4388 0886",Diurno,Consalud,"Full time",605838,,,,,Disponible,25832,Alicante,TalaveradelaReina,2026-11-01,2027-04-14,24,3949,429000,"Air New Zealand",,{},"{""Ciudad Real"",Málaga}",,{}
"Miguel Cantú Peralta",18350227,1,Miguelperalta@viajes.cl,micape,rf589lAQV9xWJDmp,"+56 9 7377 5424",Diurno,Consalud,"Full time",605843,,,,,Disponible,33848,Valencia,Torrevieja,2026-04-24,2026-06-03,93,969,147000,"Delta Air Lines",,{},"{Paterna,Cádiz,Barcelona}",,{}
"Sr. Adela Bañuelos Sanches",24731885,2,Sr.sanches@viajes.cl,Sr.sanches,0bUO7FzlMk0,"+56 2 5006 3820",Nocturno,Banmédica,"Full time",605844,,,,,Disponible,59004,SanFernando,Cádiz,2025-02-04,2025-05-07,65,2209,247000,Vueling,,{},"{""El Puerto de Santa María"",Segovia,Majadahonda,Pontevedra,Badajoz}",,{}
"Sara Palacios Briseño",25744972,6,Sarabriseno@viajes.cl,Sarabriseño,k8mh38PzBlhL,"+56 2 0932 0414",Diurno,Banmédica,"Full time",605845,,,0,,Disponible,46248,rivasvaciamadrid,SANTACOLOMADEGRAMANET,2025-02-03,2025-06-29,46,3515,101000,"American Airlines",,{},"{""Mollet del Vallés""}",,{}
"Fernando Domínquez Longoria",19495804,8,fernando4948@viajes.cl,Fernandolongoria,4sYRRB1r4,"+56 9 5533 7801",Nocturno,"Más vida","Part time",605849,,,,,Disponible,81135,RivasVaciamadrid,Estepona,2025-09-08,2026-02-26,100,4124,402000,"Copa Airlines",,{},{Guadalajara},,{}
"Eva Maya Guzmán",5170501,7,evmagu@viajes.cl,evmagu,qdra8GmMhoG4g,"+56 9 9210 5261",Nocturno,Fonasa,"Full time",605851,,,,,Disponible,70657,Murcia,Sagunto,2026-02-28,2026-03-31,41,754,50000,"Qatar Airways",,{},"{Reus,""Alcalá de Henares""}",,{}
"Sr. Sergio Becerra Escalante",11334197,1,Sr.escalante@viajes.cl,sr.6036,wUTr5P30,"+56 9 6196 6596",Diurno,Colmena,"Part time",605855,,,,,Disponible,18192,Mérida,PozuelodeAlarcón,2026-06-23,2026-11-01,67,3144,118000,Aeroméxico,,{},{},,{}
"Teodoro Báez Espinoza",24554607,6,Teodoroespinoza@viajes.cl,tebáes,RIzpUH1sv,"+56 9 6812 8543",Diurno,Consalud,"Part time",605857,,,,,Disponible,93814,SanFernando,Badajoz,2025-04-01,2025-05-11,38,980,57000,"Ethiopian Airlines",,{},"{Madrid,Lérida}",,{}
"Sra. Vicente Corrales Valdés",6137240,7,sra.2960@viajes.cl,sra.1836,iDV3fYTwy1t,"+56 9 8111 2238",Diurno,Fonasa,"Part time",605858,,,,,Disponible,31502,ChiclanadelaFrontera,Telde,2025-08-18,2026-01-01,82,3285,203000,"Alaska Airlines",,{},{},,{}
"Agustín Zelaya Ríos",25075404,3,agzerOA@viajes.cl,agustín3051,QazGNMynmi4,"+56 9 1698 4556",Nocturno,Colmena,"Part time",605859,,,,,Disponible,84505,MolinadeSegura,Rubí,2026-02-09,2026-03-21,56,969,60000,"Copa Airlines",,{},{Cuenta},,{}
