nombre,run,Dv,Correo,Nombre_usuario,Contrasena,Telefono_contacto,Puntos,Codigo_agenda,Etiqueta,Codigo_reserva,Fecha,Monto,Cantidad_personas
"Virginia Lozada Alcántar",,,viloal@marmol.com,virginia722,BK5grO8F8,"+56 2 2243 4536",6226,61245,"Salida con Amigos",536381,2025-06-19,2304000,6
"Virginia Rocha Nazario",5034579,3,,virona,VnuAi1Br7,"+56 2 2354 1776",3927,66088,Vacaciones,536396,2025-04-03,1407000,7
,,,mayte1926@viajesanma.com,,,"+56 2 2902 9975",0,66157,"Salida con Amigos",536416,2025-03-26,114000,1
"Sta. Ariadna Tapia Barreto",11476978,9,,sta.4934,sbZrKqX3X3V3LRQ,"+56 2 5540 3356",1520,64660,"Salida con Familia",536419,2026-08-02,202000,2
"Diego Espinosa Espinosa",9907928,2,,diego6689,xVDxrcH95nl3p,"+56 9 0420 5617",920,63285,"Cena de Trabajo",536430,2025-06-27,95000,1
"Vicente Gaitán Fajardo",,,Vicentefajardo@outluc.com,Vicentefajardo,tcukTtp1,"+56 2 4722 4397",3571,70427,"Cena de Trabajo",536431,2025-02-15,1424000,8
"Sra. Ernesto Quiñónez Abeyta",,,srerquab@tourket.com,srerquab,72i5QnsXZ,"+56 9 0053 1866",3642,71293,Vacaciones,536456,2025-03-05,534000,3
"Agustín Balderas Deleón",,,,agustín9752,J3t3nqsG8IzS1v,"+56 2 2995 4939",8745,72263,"Cena de Trabajo",536460,2025-03-14,340000,5
"Sr. José María Palomino Flórez",24006668,8,,Sr.flórez,dDjWkY0bALQ,"+56 9 8117 4749",6454,64386,Aniversario,536474,2025-01-02,460000,4
"Jorge Luis Campos Rodrígez",9506282,2,,Jorgerodrígez,g0mucJtoY8wsA,"+56 9 8491 9137",4861,62470,Aniversario,536478,2025-03-07,75000,5
"Javier Montalvo Cervantes",,,javier2171@viajesanma.com,Javiercervantes,3sMLI1uaUaEjdP,"+56 2 1101 8712",7542,69257,Aniversario,536501,2025-12-25,1332000,4
"Hernán Ornelas Méndez",21083368,4,,Hernánméndez,pUByqu3h,"+56 9 9269 7285",5195,64148,Vacaciones,536513,2025-12-08,702000,9
"Andrés Heredia Farías",1216311,8,,anhefa,CSzKy7etW0S,"+56 9 0785 1443",4301,69010,"Salida con Familia",536542,2026-04-14,495000,5
"Sr. Vicente Armendáriz Alva",,,Sr.alva@wass.com,Sr.alva,,"+56 2 5147 9399",0,61940,Aniversario,536556,,,9
"Sr. Vicente Armendáriz Alva",5828697,4,,Sr.alva,OPq5Z0oC,"+56 2 5147 9399",6040,61940,Aniversario,536563,2025-03-17,2421000,9
"Sara Quiñones Huerta",,,,,u61QZJrt,,2916,,"Salida con Amigos",536567,2025-03-23,1440000,10
"Rubén Beltrán Cintrón",2773700,5,,rubeci,zDZTZtbHPkk6Iq2K,"+56 2 0534 2773",9359,70888,"Cena de Trabajo",536570,2025-09-04,121000,1
,2773700,5,,,zDZTZtbHPkk6Iq2K,"+56 2 0534 2773",9359,70888,"Cena de Trabajo",,2025-10-04,166000,
"Claudio Saavedra Alba",9797214,1,,clsaal,yYe1mGg6a11a,"+56 2 5238 6697",5485,64281,Vacaciones,536581,2025-04-28,92000,2
,,,Mariomendoza@viajesanma.com,,HUlB30vAT1CHJSs,,3372,68791,"Cena de Trabajo",536606,2026-08-03,318000,
"Mario Tejeda Mendoza",25643078,9,,Mariomendoza,HUlB30vAT1CHJSs,"+56 2 9656 7762",3372,68791,"Cena de Trabajo",536611,2026-07-22,144000,2
"Tomás Delgadillo Jurado",,,,todeju,m3bg0xxBCqyAB,"+56 2 7236 3863",5520,66291,Vacaciones,536615,2025-04-23,570000,6
"Tomás Delgadillo Jurado",,,todeju@viajesanma.com,todeju,m3bg0xxBCqyAB,"+56 2 7236 3863",5520,66291,Vacaciones,536616,2025-03-04,420000,6
"Francisco Vigil Trejo",,,,,2TA8HtCoV9K,"+56 9 5837 1650",9192,,"Salida con Amigos",536628,2025-02-20,,
"Samuel Pelayo Serna",,,,sapese,WRbTdbVe7HPl6fTz,"+56 2 9886 4414",2134,61579,"Salida con Familia",536637,2025-05-15,371000,1
,,,Samuelserna@tourket.com,sapese,,,2134,61579,"Salida con Familia",536638,2026-06-05,,
"Sra. Virginia Ontiveros Velasco",,,sra.141@wass.com,srvionve,Z97kj7jd,"+56 9 9520 2956",0,,,536640,2026-04-11,1104000,6
"Sra. Agustín Quezada Sisneros",,,Sra.sisneros@outluc.com,,ejXdZc6Nuqz,"+56 9 1372 9158",772,63069,"Cena de Trabajo",,,,6
"Miguel Ángel Alonzo Rivas",,,miguel7795@edubus.cal,miguel8152,dRb2GDN5,"+56 9 7893 1848",6712,66526,"Salida con Amigos",536645,2025-07-03,720000,6
"Miguel Ángel Alonzo Rivas",,,miguel7795@edubus.cal,miguel8152,dRb2GDN5,"+56 9 7893 1848",6712,66526,"Salida con Amigos",536653,2025-05-07,840000,6
"Sta. Maricarmen Ruelas Oquendo",,,sta.207@viajesanma.com,Sta.oquendo,4bSEoOaRlc3U2,"+56 2 8393 3626",5686,65853,"Salida con Familia",536657,2025-01-16,546000,3
"Sta. Maricarmen Ruelas Oquendo",,,sta.207@viajesanma.com,Sta.oquendo,4bSEoOaRlc3U2,"+56 2 8393 3626",5686,65853,"Salida con Familia",536665,2025-01-31,537000,3
"Sta. Maricarmen Ruelas Oquendo",,,sta.207@viajesanma.com,Sta.oquendo,4bSEoOaRlc3U2,"+56 2 8393 3626",5686,65853,"Salida con Familia",536673,2025-01-20,528000,3
"Sta. Claudio Arce Arredondo",,,,sta.2363,XumkGrCrVdh8mv8,,0,66826,,,2025-05-08,1044000,6
"José Eduardo Moreno Jasso",,,josOo5274@tourket.com,josé427,,,2573,,"Salida con Amigos",536688,,1210000,10
"José Eduardo Moreno Jasso",19349064,6,,josé427,odVC9kWw,"+56 9 0698 0454",2573,65433,"Salida con Amigos",536693,2025-11-10,1200000,10
"Alfonso Ruelas Marrero",726132,2,,alfonso8643,C5nNYEeur,"+56 9 9590 1529",0,,,536708,,912000,
"Gloria Vázquez Aponte",18165128,8,,glváap,mMe4aaNRhc6,"+56 9 0928 6064",271,64502,"Salida con Amigos",536713,2025-08-07,1200000,8
"Isabel Olivera Delarosa",,,isolde@outluc.com,isabel1202,sEMIcmsZ4yUcQ5,"+56 9 0048 2005",9837,69324,"Salida con Familia",536726,2025-05-08,183000,3
"Isabel Olivera Delarosa",,,isolde@outluc.com,isabel1202,sEMIcmsZ4yUcQ5,"+56 9 0048 2005",9837,69324,"Salida con Familia",536729,2025-07-16,369000,3
"Isabel Olivera Delarosa",,,isolde@outluc.com,isabel1202,sEMIcmsZ4yUcQ5,"+56 9 0048 2005",9837,69324,"Salida con Familia",536735,2025-12-14,798000,3
"Sra. Olivia Salas Pantoja",,,sra.4107@edubus.cal,srolsapa,SeJ6eoA3,"+56 9 2436 4646",8922,71863,"Salida con Amigos",536741,2026-04-26,808000,8
"Sra. Olivia Salas Pantoja",,,sra.4107@edubus.cal,srolsapa,SeJ6eoA3,"+56 9 2436 4646",8922,71863,"Salida con Amigos",536749,2025-11-16,1704000,8
"Sra. Olivia Salas Pantoja",,,sra.4107@edubus.cal,srolsapa,SeJ6eoA3,"+56 9 2436 4646",8922,71863,"Salida con Amigos",536750,2025-09-17,960000,8
"Sr. Amalia Acosta Rivero",,,sr.4852@marmol.com,Sr.rivero,UjKZsRkM1T1,"+56 9 7878 7416",7639,66361,"Cena de Trabajo",536751,2025-07-22,116000,2
"Concepción León Bravo",13217604,3,,concepción4725,ovX9p4nKovuLh,"+56 2 4568 2436",963,64036,"Salida con Amigos",536752,2025-07-08,81000,1
"Clemente Ledesma Arroyo",,,,Clementearroyo,bv94adhTTH,"+56 2 9630 2628",8183,63802,"Salida con Amigos",,,99000,1
"Mónica Haro Orellana",19332399,5,,mónica6286,D7e2Z8TWPXOnd,"+56 9 9583 9092",6114,67399,"Salida con Amigos",536789,2025-01-04,285000,3
"Micaela Delafuente Escobedo",,,midees@tourket.com,midees,uBVELt4rb1dLz,"+56 2 5575 6844",3817,64111,"Cena de Trabajo",536796,2025-04-01,544000,4
"Micaela Delafuente Escobedo",,,midees@tourket.com,midees,uBVELt4rb1dLz,"+56 2 5575 6844",3817,64111,"Cena de Trabajo",536799,2025-08-11,688000,4
"Sr. Octavio Sierra Morales",,,,Sr.morales,wM5oDCCWYTaMnF,"+56 9 5810 7686",720,66656,Aniversario,536806,2025-04-22,4550000,10
"Isabel Olivera Delarosa",,,isolde@outluc.com,isabel1202,sEMIcmsZ4yUcQ5,"+56 9 0048 2005",9837,69324,"Salida con Familia",536825,2025-01-26,654000,3
"Julio César Benítez Arevalo",,,jucOobear@wass.com,julio8726,a6CceSA4WFcAdO,"+56 2 9731 4931",146,68858,"Cena de Trabajo",536832,2026-01-25,1192000,8
"Julio César Benítez Arevalo",,,,julio8726,a6CceSA4WFcAdO,"+56 2 9731 4931",146,68858,"Cena de Trabajo",536834,2026-02-14,1016000,8
"Adán Paredes Balderas",28127526,7,,adpaba,WjEsSC5eTE6cZr3f,"+56 2 3238 0637",6872,63131,Aniversario,536867,2025-10-01,567000,7
"Tomás Ayala Linares",,,tomOes9802@outluc.com,tomás2963,36ohRiPpIux,"+56 2 0719 1023",8296,65379,Aniversario,536874,2025-01-27,567000,7
"Sr. Fernando Urrutia García",10201727,7,,Sr.garcía,tgL631ySrth5Z,"+56 2 0776 2520",3327,68745,Vacaciones,536880,2025-03-02,760000,8
"Sr. Jerónimo Montes Reyes",,,srjemore@edubus.cal,sr.3859,iAtRZy15,"+56 2 4778 9783",7025,63626,"Cena de Trabajo",536882,2025-06-15,955000,5
"Josefina Hernández Robledo",,,,Josefinarobledo,1Fppu7KkGW,"+56 9 6828 0215",8069,68927,Vacaciones,536883,2025-10-08,1200000,10
"Mariano Tejada Guardado",15045648,7,,mariano6951,h06cRjISx8Lf,"+56 2 4516 5533",2239,62314,"Salida con Amigos",536905,2025-03-14,728000,8
"Timoteo de Jesús Zambrano",6054370,4,,timoteo6493,n1O0kS28,"+56 2 9445 1043",6422,66468,"Salida con Amigos",536915,2025-01-04,995000,5
"Sta. Rodrigo Ramos Vallejo",,,Sta.vallejo@tourket.com,strorava,z5yk0z9z1hAO,"+56 2 5778 1583",1328,66644,Vacaciones,536931,2025-03-30,3780000,9
"Sta. Rodrigo Ramos Vallejo",,,Sta.vallejo@tourket.com,strorava,z5yk0z9z1hAO,"+56 2 5778 1583",1328,66644,Vacaciones,536935,2025-02-04,2583000,9
"Sta. Rodrigo Ramos Vallejo",,,Sta.vallejo@tourket.com,strorava,z5yk0z9z1hAO,"+56 2 5778 1583",1328,66644,Vacaciones,536936,2025-04-08,1305000,9
"Eva Mota Arredondo",6993612,1,,evmoar,yNMyKqFd66zw4yKf,"+56 2 7904 9975",5425,65880,"Salida con Amigos",536947,2026-03-12,1673000,7
"Sta. Pedro Mendoza Lugo",3757951,3,stpemelu@tourket.com,,ys23LiMj1W,,1398,66323,,536953,,900000,
"Raquel Ávalos Quiñones",519626,4,,Raquelquiñones,GiPx9fWm,"+56 9 5573 9886",778,69485,Aniversario,536974,2026-01-13,224000,7
"Alfonso Castro Armijo",,,alcaar@edubus.cal,alfonso8537,H2odKNb26,"+56 9 1674 8561",5673,67170,"Salida con Familia",536987,2026-01-05,200000,4
"Sta. Gilberto Colón Pedroza",,,Sta.pedroza@wass.com,stgicope,Qob59cR3X7Xv13x1,"+56 9 8206 7568",1630,64042,"Salida con Familia",536998,2025-03-30,2673000,9
"Sta. Gilberto Colón Pedroza",,,Sta.pedroza@wass.com,stgicope,Qob59cR3X7Xv13x1,"+56 9 8206 7568",1630,64042,"Salida con Familia",536999,2025-04-05,963000,9
"César Centeno Iglesias",27072823,5,,Césariglesias,6isrYLrKF5kQ,"+56 9 1725 0360",166,71831,"Salida con Amigos",537004,2025-10-31,856000,8
"José María Espino Pulido",1664249,5,,josé7050,JXyFUp9LWuC,"+56 2 7520 1497",4832,66154,"Salida con Amigos",537008,2025-10-30,978000,6
"Norma Almanza Villaseñor",,,,norma3006,RG1hSXD7yyf3G,"+56 9 9544 0986",8332,70315,Aniversario,537027,2026-10-05,3474000,9
"Mariano Ramón Zúñiga",572042,7,,marazú,BiOIwFQw3wPGwUbC,"+56 2 9828 8204",6098,65338,Aniversario,537059,2025-07-12,396000,6
"Manuela Solano Lara",22593423,1,,masola,rSBodIkhACz44zk,"+56 2 4921 9874",4030,69836,Vacaciones,537061,2025-07-27,1200000,8
"Sta. Esteban Quintana Sisneros",,,,sta.9785,,,0,69553,Vacaciones,537084,2025-08-18,560000,
"Graciela Perales Carrero",,,,grpeca,0LqjVA2q,"+56 2 8123 6714",3259,65524,"Salida con Amigos",537092,2025-03-20,2583000,7
"Rubén Muñiz Aranda",,,RubOonaranda@tourket.com,Rubénaranda,,"+56 2 7750 1930",1555,,,,2025-01-30,265000,5
"María Teresa Armas Salgado",18032556,5,,Maríasalgado,LtNhB78QcUE,"+56 9 3823 0846",8556,71458,"Salida con Amigos",537101,2025-05-24,255000,5
"Hernán Orosco Zaragoza",22808213,9,,hernán2176,tvlQXzhbEH3U,"+56 2 1240 1629",5080,64263,"Cena de Trabajo",537130,2025-03-12,380000,2
"Claudia Montalvo Cerda",,,,clmoce,f5uDMuvE7HUY9,"+56 2 7491 1334",9480,71180,"Salida con Amigos",537131,2026-04-06,340000,2
,,,,,xH7cEcCM,,901,68106,"Cena de Trabajo",537160,2025-06-11,,
"Sta. Gabriela Gómez Verduzco",,,stgagOIve@marmol.com,sta.8399,xH7cEcCM,"+56 9 7377 0506",901,68106,"Cena de Trabajo",537163,2025-02-06,1281000,7
"Sta. Gabriela Gómez Verduzco",,,stgagOIve@marmol.com,sta.8399,xH7cEcCM,"+56 9 7377 0506",901,68106,"Cena de Trabajo",537169,2025-03-10,658000,7
"Enrique Olivera Franco",,,,,blUQYFfaJ3w8Uf5,,3489,66928,"Cena de Trabajo",,,600000,5
"Cecilia Garay Prado",12592052,7,,Ceciliaprado,1va3Jn0B,"+56 9 7329 2773",9545,61645,"Salida con Amigos",537198,2025-04-23,360000,2
"Jacobo Adorno Apodaca",,,jaadap@outluc.com,Jacoboapodaca,hEDEkyR9DxF,"+56 2 7808 6512",9455,71760,Vacaciones,537202,2025-04-05,1720000,8
"María José Quintana Valladares",,,MarOAavalladares@viajesanma.com,maría2788,9Mvpwoc8C,"+56 9 7244 3541",5419,63593,Aniversario,537211,2025-05-10,1088000,8
"María José Quintana Valladares",,,MarOAavalladares@viajesanma.com,maría2788,9Mvpwoc8C,"+56 9 7244 3541",5419,63593,Aniversario,537217,2025-02-02,1128000,8
"Gregorio Navarrete Lomeli",,,grnalo@edubus.cal,Gregoriolomeli,YJZzx84C,"+56 9 3662 8276",3952,72036,"Cena de Trabajo",537218,2025-05-15,639000,3
"Gregorio Navarrete Lomeli",,,,Gregoriolomeli,YJZzx84C,"+56 9 3662 8276",3952,72036,"Cena de Trabajo",537219,2025-02-17,375000,3
"Alejandro Farías Lozano",24729179,2,,Alejandrolozano,0H1yZ1Vj,"+56 9 7672 5809",6195,61431,"Salida con Familia",537237,2025-07-23,408000,4
"Isabel Vera Gallegos",24094590,8,,isabel6287,aTlyxuXS6ltIv,"+56 9 0925 7519",2878,67582,"Salida con Amigos",537248,2025-05-10,444000,6
"Andrea Peres Chacón",4788841,7,,Andreachacón,9NWnQatBL,"+56 9 4270 5539",3429,61757,Aniversario,537275,2025-02-22,665000,5
"Alicia Barrios Estévez",1519986,5,,Aliciaestévez,0G9lFbcQY6M,"+56 9 1794 6725",677,63348,Vacaciones,537282,2025-09-24,804000,6
"Rosa Solorio Garibay",,,rosoga@outluc.com,Rosagaribay,oomZYGMc0I,"+56 2 4787 0203",1796,71975,"Cena de Trabajo",537291,2025-02-10,450000,9
"Rosa Solorio Garibay",,,rosoga@outluc.com,Rosagaribay,oomZYGMc0I,"+56 2 4787 0203",1796,71975,"Cena de Trabajo",537293,2025-02-02,783000,9
"Rosa Solorio Garibay",,,rosoga@outluc.com,Rosagaribay,oomZYGMc0I,"+56 2 4787 0203",1796,71975,"Cena de Trabajo",537294,2025-02-08,1494000,9
,,,,,NjrfJM0hfF2JHvcz,"+56 9 7783 8226",5239,62800,,537316,2025-07-23,346000,2
"Jorge Luis Lomeli Robles",7199865,7,,jorge2056,nR0q6W4j,"+56 2 6329 9199",1506,64397,"Salida con Familia",537327,2025-02-01,708000,4
"Cecilia Alonzo Gálvez",11267391,1,,cecilia3306,09YZlcio,"+56 9 4837 6465",4275,70049,"Salida con Familia",537330,2026-06-04,609000,7
,,,CeciliagOelvez@wass.com,cecilia3306,09YZlcio,,4275,70049,"Salida con Familia",537337,,,7
"Gabriel Abrego Madera",,,gabriel4227@outluc.com,Gabrielmadera,NxVlil4kvNRHMz,"+56 9 8544 8387",6951,62390,"Salida con Familia",537338,2026-02-18,101000,1
"Gabriel Abrego Madera",,,gabriel4227@outluc.com,Gabrielmadera,NxVlil4kvNRHMz,"+56 9 8544 8387",6951,62390,"Salida con Familia",537342,2026-01-09,256000,1
"Anita Olivo Monroy",10757233,3,,anita8219,K8BwbCqU,"+56 2 4222 1175",793,66428,Vacaciones,537356,2025-06-18,720000,5
"Marcela Palomo Ceja",,,,Marcelaceja,wPJUzQ2tlii,"+56 9 0730 0316",4400,68964,"Cena de Trabajo",537379,2025-04-12,1130000,10
"Alfonso Monroy Atencio",,,,,2F46PDSum9qbzPp,,0,68168,Aniversario,537380,2025-10-01,,1
"Alfonso Monroy Atencio",,,Alfonsoatencio@viajesanma.com,,2F46PDSum9qbzPp,,8120,,Aniversario,,,261000,1
"Armando Puga Lugo",26670498,4,,Armandolugo,3LFNewPsJ,"+56 2 2341 8400",5103,63480,"Salida con Familia",537389,2025-03-13,96000,1
"Andrea Lara Alaniz",26667673,5,,andrea8244,EPvuM5TZb,"+56 9 5504 5239",6067,62259,"Salida con Amigos",537398,2025-01-16,1644000,4
"Samuel Ruiz Colunga",19042682,3,,saruco,2SvvNLPMS59wWX8,"+56 2 6341 6520",4868,68989,"Cena de Trabajo",537404,2025-01-01,562000,2
"Ester Maya Vázquez",,,ester3479@outluc.com,ester6444,1rXfdONz,"+56 9 8445 3130",4956,69216,"Cena de Trabajo",537412,2025-03-16,168000,2
"Carlota Carbajal Sánchez",2510328,9,,carlota7746,mtPJHa7Cy,"+56 9 2352 2408",4371,69937,Vacaciones,537414,2025-10-20,1710000,10
"Sra. Elsa Varela Saiz",5229215,8,,Sra.saiz,vbY5K28GYeUJE8E,"+56 9 8996 3712",3385,67126,"Cena de Trabajo",537415,2025-01-14,228000,3
"Javier Lozano Ríos",,,JavierrOAos@wass.com,Javierríos,B1l21LYq3i786,"+56 9 9201 0558",3546,63595,"Salida con Familia",537417,2025-09-07,282000,3
"Clara Carrion Chacón",5283873,8,,clara4704,Bx0yhNvHH,"+56 2 7666 8259",7064,63453,"Salida con Amigos",537431,2025-11-25,236000,4
"Emilia Sarabia Montoya",,,,emsamo,,,7237,61166,,537436,2025-05-11,,2
"Emilia Sarabia Montoya",,,,emsamo,CMWEzD0v0dIs1,"+56 9 8298 1950",7237,61166,Aniversario,537440,2025-05-07,230000,2
"Virginia Barela Anaya",11393245,7,,Virginiaanaya,Zyl5s358mahqrynH,"+56 2 1031 3564",6095,64200,"Cena de Trabajo",537444,2025-11-07,94000,1
"Rosario Sáenz Bueno",28490788,4,,rosario9687,KtD4i3UDSDps1,"+56 9 5947 0198",9206,63171,Aniversario,537448,2025-01-12,256000,2
"Raúl Escalante Márquez",,,raesmOe@viajesanma.com,raúl4478,DItqC4199,"+56 2 4929 5074",1488,68412,Vacaciones,537453,2025-09-13,3573000,9
"Julia Gollum Arce",,,,julia1131,VcThh2F6e4REuTMf,"+56 2 6005 7673",4278,66216,"Salida con Familia",537454,2025-06-17,504000,8
"Julia Gollum Arce",,,jugoar@edubus.cal,julia1131,VcThh2F6e4REuTMf,"+56 2 6005 7673",4278,66216,"Salida con Familia",537456,2025-02-21,1208000,8
"Mayte Armas Alicea",21999242,4,,mayte543,5lk4yyrmXwDkp,"+56 2 6698 4225",4297,67483,"Cena de Trabajo",537475,2025-07-29,216000,1
"Jerónimo Ledesma Romero",23004234,9,,jelero,t1ZZKuUEO5huvk,"+56 2 3581 3300",847,64458,Vacaciones,537495,2026-01-07,380000,5
"Jerónimo Ledesma Romero",23004234,9,,jelero,t1ZZKuUEO5huvk,"+56 2 3581 3300",847,64458,Vacaciones,537501,2025-05-13,725000,5
"Joaquín Reynoso Granados",22052514,7,,joregr,hM7NjD1JLHa,"+56 2 7402 4330",9215,65046,Aniversario,537502,2025-10-28,648000,4
"María Cristina Roque Rodríguez",,,marOAa3531@tourket.com,maría2728,,"+56 9 2085 5291",944,61372,"Salida con Amigos",537509,,,
"Ernesto Cazares Delvalle",,,ercade@outluc.com,ercade,5RSNLjKV4WAu,"+56 2 4317 3989",4245,64838,"Salida con Familia",537511,2025-01-23,186000,6
"Ernesto Cazares Delvalle",,,ercade@outluc.com,ercade,5RSNLjKV4WAu,"+56 2 4317 3989",4245,64838,"Salida con Familia",537512,2025-06-22,786000,6
"Sr. Ricardo Balderas Cano",,,Sr.cano@wass.com,Sr.cano,NNH621zmneRv,"+56 2 4572 8266",0,,,537515,2025-01-01,1666000,
"Antonia Negrete Cervántez",15781000,6,,annece,OwN3Iu8rXWoF,"+56 9 2545 9420",9386,66202,"Salida con Amigos",537521,2025-01-03,630000,9
"Alfonso Magaña Mesa",,,almame@wass.com,Alfonsomesa,GKjzK7R2tl,"+56 2 3904 9800",8645,70530,"Salida con Amigos",537522,2025-09-04,378000,7
"Andrea Mondragón Ybarra",,,Andreaybarra@wass.com,anmoyb,4UEy4aI4G8CW,"+56 9 1613 6055",3293,67740,"Cena de Trabajo",537525,2025-01-04,747000,3
"Andrea Mondragón Ybarra",,,Andreaybarra@wass.com,anmoyb,4UEy4aI4G8CW,"+56 9 1613 6055",3293,67740,"Cena de Trabajo",537533,2025-02-02,297000,3
